유형	인물	대사
talk	나	아니.. 이제는 좀 괜찮아지긴 했어.
talk	나	아 맞아. 너 내 핸드폰 가지고 있지?
talk	나	나 대신에 예진이한테 오늘 가기 힘들다고 연락 좀 넣어줘
talk	여동생	뭐? 그 언니한테? 갑자기 왜?
talk	나	어...?
think	나	예상치 못한 반응에 말이 안나온다.
think	나	예진이한테 왜 연락하냐고?
talk	여동생	아! 나 의사 선생님 불러올께!
image	None
narration	나레이션	여동생이 나갔다.
think	나	뭐지? 오늘이 예진이 생일인걸 모르나?
think	나	뭐... 남의 여자친구 생일까지 일일이 다 기억하고 있지 않을수도 있지.
think	나	그래도 핸드폰은 주고 가지...
think	나	내 자켓하고 가방이 어딨을까...
narration	나레이션	나는 병실을 천천히 둘러보았다.
think	나	TV가 켜져있었네?
think	나	볼륨이 작아서 잘 안들리는 걸...
talk	앵커	다음 뉴스입니다.
talk	앵커	경찰이 5일 전에 강원도 산길에서 발생했던 사고를 다시 수사하기 시작했습니다.
talk	앵커	회사의 직장인들이 출장을 가다가 운전자의 졸음 운전으로 발생한 이 사고는
talk	앵커	최근 운전자의 부검 결과 체내에서 수면제 성분이 발견되면서
talk	앵커	살인 사건에 무게를 두고 재수사를 시작했습니다.
talk	앵커	경찰은 동승하고 있었던 류 모 대리를 현재 유력한 용의자로 보고 있습니다.
think	나	△△ 회사는 우리 회사다.
think	나	그럼 우리 회사 사람 한 분이 돌아가셨나보네...
think	나	류 모 대리면....
think	나	그러고보니 내가 속해 있는 팀에 계신 대리님도 성이 류씨다.
think	나	그럼 혹시 대리님이...?
talk	의사	환자분. 깨어나셨군요.
think	나	어느새 여동생이 의사를 데리고 왔다.
narration	나레이션	 
talk	의사	큰 이상은 없지만 좀 더 안정을 취하셔야 합니다.
think	나	그렇게 말하고 의사는 나갔다.
talk	나	여동생아. 좀 전에 TV에서 봤는데
talk	나	5일 전에 우리 회사에서 출장가다가 사고가 났었는데
talk	나	그게 알고 봤더니 살인 사건이래
talk	나	그리고 용의자로 지목된 사람이 내가 아는 그 대리님인 것 같아.
think	나	어? 그런데 5일 전이면 난 왜 모르고 있었...
talk	여동생	뭘 그렇게 남 일처럼 말해?
talk	여동생	그거 오빠 사고 얘기잖아.
talk	나	......어?
think	나	이게 뭔소리람?
think	나	여동생이 나에게 장난치는건가?
talk	나	무슨 소리야! 5일 전이면 11월 6일이잖아.
talk	나	난 그때 출장같은거 간 적 없다고.
talk	여동생	오빠야 말로 무슨 소리야!
talk	여동생	사고가 난 날이 11월 12일이고 오늘이 11월 17일이야!
talk	여동생	자 봐!
think	나	여동생은 핸드폰을 꺼내서 나에게 보여줬다.
think	나	핸드폰의 시간은 11월 17일 오후 2시를 가리키고 있었다.
think	나	뭐지...?
think	나	어제는 분명 11월 10일이고.. 오늘이 11월 11일이 아닌가...?
think	나	그럼 그 5일간 나는 뭐했지...?
narration	나레이션	 
think	나	(.....)
talk	여동생	오빠 괜찮아? 
talk	나	어?...
talk	나	어.....어.......
think	나	괜찮다는 말이 습관처럼 나왔지만 사실 괜찮지 않았다. 
think	나	머리는 지끈거리고 이제서야 온 몸이 둔기로 맞은듯 아팠다.
think	나	아 맞아! 예진이! 
think	나	큰일이다..오늘이 17일이라면 예진이 생일 이후 6일이나 지났다.
think	나	예진이 생일을 내가 챙겼을까? 아무런 기억이 나지 않는다. 
think	나	11일 이후로 계속 의식이 없었다면 5일동안 연락을 하지 못한 것이다. 
think	나	한 번도 이렇게 오래 연락을 안 한 적이 없는데..
think	나	불현듯 불안한 생각이 뇌리를 스쳤다. 
talk	나	내 핸드폰 좀 줘봐! 
think	나	요즘 회사일 때문에 자주 다퉜고, 예진이가 끝내 눈물을 흘리던 모습이 생각난다. 
think	나	이번 생일에 전부 만회할 생각으로 반지까지 사뒀는데..
think	나	동생이 머뭇거리며 핸드폰을 주지 않는다. 어쩐지 난처한 표정이다.
talk	나	왜 그러고 있어..? 빨리 핸드폰 줘.
narration	나레이션	무거운 정적이 흐른다. 
talk	여동생	아, 그게! 사고 때문에 오빠 핸드폰이 고장나서 수리 맡겼어. 
talk	나	뭐? 언제쯤 찾을 수 있는데? 
talk	여동생	글쎄..? 2~3일은 더 걸릴 것 같은데? 잘 모르겠어. 끝나면 바로 가져다 줄게! 
talk	나	그래? 그러면 너 핸드폰이라도 빌려줘...예진이 걱정하겠다. 
talk	나	11일이 예진이 생일이었는데...아무 기억이 없어..
talk	여동생	아......오빠 그 날 생일 파티 잘 했잖아! 나한테 전화로 자랑도 했으면서
talk	나	그래? 내가 진짜 그랬어? 
narration	나레이션	얼떨떨하지만 주인공의 얼굴에 안도의 미소가 번진다.
think	나	요즘 예진이와의 관계가 너무 불안했는데, 생일을 잘 보냈다니 다행이다. 
think	나	안좋은 생각들만 하고 있던 차에 기쁜 소식을 들어서 그런지 이제야 긴장이 풀린다. 
think	나	아니 그래도, 5일 동안 예진이한테 연락을 못했는데 연락은 해야 하는데...그런데 교통사고는 또 어떻게 된 거지? 
choice		여자친구에 대해 더 물어본다.
talk	나	그래도 예진이 목소리는 들어야겠어. 핸드폰 좀 빌려줘. 많이 걱정했을 거야.
talk	여동생	어?..어.. 걱정하지 마. 당연히 내가 오빠 사고나고 바로 연락했지. 근데 지금 일 때문에 지방에 내려가서 바로 못 온다고 그랬어. 많이 미안해 하더라. 
talk	여동생	그리고 예진 언니 걱정 좀 그만 해! 지금은 오빠 몸부터 신경써야지. 사고에 대해 기억나는 거 없어? 
choice		사고에 대해 물어본다. 
talk	나	도대체 사고는 어떻게 된 거야? 
talk	여동생	오빠 사고에 대해서도 아무 기억이 안 나?
think	나	사고..? 정말 하나도 기억나지 않는다. 
narration	나레이션	동생은 뉴스 보도보다 조금 더 자세한 사정을 알고 있었다. 
narration	나레이션	나를 포함해서 과장, 대리님까지 총 3명이서 출장을 가다가 과장님의 졸음 운전으로 사고가 발생했다고 한다.
talk	나	방금 뉴스로 살인사건이라고 했잖아? 
talk	여동생	아..그게 원래 과장님이 부정맥이었다고 유가족들이 부검요청을 했나봐. 내 생각에는 보험금 때문인 것 같기도 하고... 
talk	여동생	아무튼 부검 결과가 나왔는데 과장님 체내에서 졸피뎀이라는 수면제가 검출되었대
talk	여동생	부검 결과를 듣고 유가족들이 타살이 아니냐고 의문제기를 해서 재수사를 한다고 하네? 
think	나	졸피뎀..? 들어본 적은 있지만 나는 어떻게 생겼는 지도 모르는데..?
think	나	그러면 류대리님이 과장님을 죽이려고 먹인건가? 그러면 대리님이 범인인가? 뭔가 착오가 있던 것은 아닐까..? 
talk	여동생	확정된 건 아니고....경찰이 병원에서 계속 수사중이야. 그런데 대리님이 우울증 때문에 졸피뎀을 처방받은 기록이 있어서 ..제일 유력한 용의자로 조사받고 있어. 
narration	나레이션	동생 말이 끝나기 무섭게 대리와 경찰이 병실로 들어온다.
talk	경찰	안녕하세요. 저는 이번 사건을 배정받은 ㅇㅇ이라고 합니다. 무사히 깨어나셔서 정말 다행입니다. 
talk	경찰	휴식을 취하셔야 하는데 방해해서 죄송합니다. 사고에 대해 몇 가지 여쭤볼 것이 있어서요. 
think	나	그런데 대리님의 표정이 꽤 여유로워 보인다. 분명히 유력한 용의자라고 하지 않았나? 
talk	경찰	떠올리기 힘드시겠지만 당시 사고 상황을 얘기해 주실 수 있을까요?
talk	나	어...그게...제가 정말 아무 것도 기억이 안나서요.
think	나	내가 생각해도 정말 터무니없는 소리다. 
talk	경찰	(한숨을 쉬면서) 현재 가장 유력한 용의자로 지목된 상황입니다. 이렇게 나오시면 정말 불리하게 작용할 수 있어요. 
think	나	이게 또 무슨 소리지? 대리가 가장 유력한 용의자라고 하지 않았나? 
talk	나	네? 제가 왜 유력한 용의자죠? 분명 방금 뉴스에서도..!
talk	대리	너 대체 왜그랬어! 
talk	대리	과장님 편히 눈 감으실 수 있게 이제 그냥 순순히 자백해..너가 그랬다는 증거도 나왔어 
think	나	???????? 내가...내가 그랬다고?? 
talk	경찰	아직 확실한 건 아무것도 없어요. 정황상 그렇다는 거죠. 사고 현장에서 ㅇㅇ커피가 발견 되었는데, 그 안에서 졸피뎀 성분이 검출되었습니다.
talk	경찰	 그 커피는 (사원이름)씨가 출근할 때 사온 커피라고 ㅇㅇ(대리)씨가 진술하셨구요. 
talk	대리	너가 출근할 때 그 커피 사오는 걸 내가 똑똑히 기억하는데, 너가 거기에 약을 타서 과장에게 먹인거겠지. 대체 왜 그랬어? 
talk	대리	과장이 틱틱거려도 너한테 얼마나 잘해줬는데..!!
talk	나	저 정말...기억이 없어요. 진짜에요..믿어주세요! 
talk	경찰	다시 한 번 말씀드리지만, 이렇게 나오시면 정말 불리하실 수 있어요.
talk	여동생	저희 오빠가 하는 말 진짜에요..!! 그렇게 의심스러우시면 검사 해보던가요..무조건 의심부터 하시는 거 정말 불쾌하네요. 
narration	나레이션	동생의 확신에 찬 목소리 때문인지 경찰도 난처해 하는 듯 하다. 
talk	경찰	그럼 기억이 없다고 하시니까. 지금까지 조사한 상황 알려드릴테니, 조금이라도 기억 나는 것이 있으시면 말씀해 주시죠. 
narration	나레이션	경찰이 가지고 온 수첩을 보고 읽는다. 
talk	경찰	2019년 11월 12일 오전 10시경 경부 고속도로 하행선 ㅇㅇ 휴게소 인근 10km 지점에서 사고가 발생했구요. 당시 운전 석에는 ㅇㅇ(과장이름)씨, 조수석에는 ㅇㅇ씨(주인공)가 있었다고 ㅇㅇ씨(대리)께서 증언하셨습니다. 
talk	경찰	원래 운전자는 ㅇㅇ(사원이름)씨였는데 ㅇㅇ휴게소에서 운전자가 ㅇㅇ(과장)씨로 교체되었다고 하네요. 출발한 지 얼마 되지 않아서 바로 사고가 발생했구요.
talk	경찰	졸피뎀이라는 약물 특성, 체내에서 검출된 양으로 역산해본 결과 휴게소에서 졸피뎀을 복용하신 거로 보이고요. 
talk	경찰	졸피뎀의 약효가 보통 30분 지나고쯤 나타나니까 CCTV에서 확인한 휴게소 방문 시간과 얼추 일치합니다. 
talk	대리	그래, 그리고 거기서 니가 커피에 졸피뎀을 탔겠지. 그 커피는 니가 산 커피야. 
talk	대리	기억이 안난다고 해도 소용 없어. 니가 커피를 샀다는 영수증이든 카드 내역이든 나올테니까. 
think	나	정말...아무 것도 기억이 안나요..... 
narration	나레이션	경찰이 한숨을 쉰다. 대리는 뭔가 더 말을 하려고 하지만 경찰에게 제지 당한다. 
talk	경찰	일단 기억이 없다고 하시니 더 이상 얻을 수 있는 정보도 없고, 시간이 늦었으니 내일 다시 오겠습니다. 
talk	경찰	ㅇㅇ씨도 같이 나가시죠.
think	나	내가 범인이라고? 대체 왜? 내가 무슨 원한이 있어서...? 
think	나	물론 과장님이 평소에 잦은 회식자리를 강요하셔서 힘들긴 했다. 술을 많이 마셔서 예진이랑 많이 싸우기도 했고..
think	나	고작 그런 것 때문에 내가 과장을 죽였다고? 그리고 설령 내가 과장을 죽이려 했다고 하더라도 나는 졸피뎀이 어떻게 생겼는 지도 모르는데..? 
narration	나레이션	혼란스러워 하는 나에게 여동생이 말을 건다. 
talk	여동생	오빠 괜찮아..? 
think	나	괜찮을리가. 도대체 뭐가 어떻게 돌아 가는거지? 
talk	여동생	오빠 많이 피곤한 것 같으니까 오늘은 이만 쉬어. 여기 오빠 옷, 지갑이랑 가방이야. 
narration	나레이션	여동생이 붕대가 감긴 손을 내려다 보는 나를 아무 말 없이 바라보다가 나간다.
narration	나레이션	나는 한참을 그렇게 앉아 있었다. 
