유형	이름	대사
talk	경찰	2019년 11월 12일 오전 10시경 경부 고속도로 하행선 ㅇㅇ 휴게소 인근 10km 지점에서 사고가 발생했구요. 당시 운전 석에는 ㅇㅇ(과장이름)씨, 조수석에는 ㅇㅇ씨(주인공)가 있었다고 ㅇㅇ씨(대리)께서 증언하셨습니다. 	
talk	경찰	원래 운전자는 ㅇㅇ(사원이름)씨였는데 ㅇㅇ휴게소에서 운전자가 ㅇㅇ(과장)씨로 교체되었다고 하네요. 출발한 지 얼마 되지 않아서 바로 사고가 발생했구요.	
talk	경찰	졸피뎀이라는 약물 특성, 체내에서 검출된 양으로 역산해본 결과 휴게소에서 졸피뎀을 복용하신 거로 보이고요. 	
talk	경찰	졸피뎀의 약효가 보통 30분 지나고쯤 나타나니까 CCTV에서 확인한 휴게소 방문 시간과 얼추 일치합니다. 	
talk	대리	그래, 그리고 거기서 니가 커피에 졸피뎀을 탔겠지. 그 커피는 니가 산 커피야. 	
talk	대리	기억이 안난다고 해도 소용 없어. 니가 커피를 샀다는 영수증이든 카드 내역이든 나올테니까. 	
think	나	정말...아무 것도 기억이 안나요..... 	
narration	나레이션	경찰이 한숨을 쉰다. 대리는 뭔가 더 말을 하려고 하지만 경찰에게 제지 당한다. 	
talk	경찰	일단 기억이 없다고 하시니 더 이상 얻을 수 있는 정보도 없고, 시간이 늦었으니 내일 다시 오겠습니다. 	
talk	경찰	ㅇㅇ씨도 같이 나가시죠. 	
image	경찰	대리	
think	나	내가 범인이라고? 대체 왜? 내가 무슨 원한이 있어서...? 	
think	나	물론 과장님이 평소에 잦은 회식자리를 강요하셔서 힘들긴 했다. 술을 많이 마셔서 예진이랑 많이 싸우기도 했고..	
think	나	고작 그런 것 때문에 내가 과장을 죽였다고? 그리고 설령 내가 과장을 죽이려 했다고 하더라도 나는 졸피뎀이 어떻게 생겼는 지도 모르는데..? 	
narration		혼란스러워 하는 나에게 여동생이 말을 건다. 	
talk	여동생	오빠 괜찮아..? 	
think	나	괜찮을리가. 도대체 뭐가 어떻게 돌아 가는거지? 	
talk	여동생	오빠 많이 피곤한 것 같으니까 오늘은 이만 쉬어. 여기 오빠 옷, 지갑이랑 가방이야. 	
narration		여동생이 붕대가 감긴 손을 내려다 보는 나를 아무 말 없이 바라보다가 나간다.	
narration		나는 한참을 그렇게 앉아 있었다. 	
